model,split,auc,logloss,brier_score,accuracy,f1
Logistic Regression,validation,0.7051328524534243,0.589440753333015,0.2013287568376738,0.6944332797427653,0.7916352623573102
Logistic Regression,test,0.7144670688858346,0.5853218709510486,0.1995319569132112,0.6984109407009579,0.7913692946058092
Rasch IRT,validation,0.7568345223099572,0.5556306380015735,0.18755043246198086,0.7168810289389067,0.7940952937737503
Rasch IRT,test,0.7453633677532134,0.5679984692100047,0.1928281862600208,0.7060701696103944,0.7827581503205565
XGBoost,validation,0.7137326800049211,0.5811829095280984,0.19783260680230771,0.7014067524115756,0.7948753347875307
XGBoost,test,0.7180916461372288,0.5779842064023326,0.1966449270552348,0.7038554528173043,0.7938009200956077
XGBoost + IRT,validation,0.7734975039704398,0.5577328892268331,0.1848900050491762,0.727652733118971,0.7939924601726863
XGBoost + IRT,test,0.7666577696404315,0.5665660293559381,0.18929350585172075,0.7189893509034199,0.783315307109922
